"","program_name","description","leisure_arts_dum","academics_dum","community_service_dum","professional_skill_dum"
"854","Building with Youth","<p>This youth-designed program is created for teens, by teens. The 8 dimensions of wellness are the framework for all that the young people have incorporated to make it a fun summer.</p>",1,0,0,1
"855","school2life Gallery Workshop - Personalized Yearbook","<p>Put Your Best <span class=""green-highlight"">Work Forward.</span><br></p>School2life Gallery is the ONLY platform designed to showcase all your incredible work, inside and outside of the classroom.Put your grades, talents, experiences, awards and accolades on display <p>using our sophisticated visual showcase, and easily present your Gallery to admissions specialists, career professionals, hiring managers and more!</p><p>Create a personal yearbook which showcases your unique growth experiences and communicates your potential to college counselors/admissions, employers, mentors , professionals, parents, peers...etc. </p><p>You've worked hard to get here. Now make your accomplishments work for you!</p><h1>A Personalized Yearbook <br>For Every Step Of Your Journey</h1><p><img alt=""Image"" src=""https://peoplevine.blob.core.windows.net/media/476/middle-schoolers-1135x540-1557330579918.jpg""></p><center><h4>Headed For <br>High School</h4></center><p>Welcome to Show & Tell 2.0 - a platform for middle school students to create a personalized yearbook by showcasing their unique accomplishments, accolades and experiences. Put your best <span class=""green"">work forward!</span></p><center><a class=""btn mix-btn_small"" href=""https://gallery.school2life.com/membership/476/580"">Get Started</a></center><p><img alt=""Image"" src=""https://peoplevine.blob.core.windows.net/media/476/s2l-coll-1555034899464.jpg""></p><center><h4>Headed For <br>College</h4></center><p>Get a head start on the college exploration and admissions process by  documenting and organizing your unique work and experiences to be considered a competitive applicant and gain opportunities. Put your best <span class=""green"">work forward!</span></p><center><a class=""btn mix-btn_small"" href=""https://gallery.school2life.com/membership/476/1296"">Get Started</a></center><p><img alt=""Image"" src=""https://peoplevine.blob.core.windows.net/media/476/s2l-pro-1555036045214.png""></p><center><h4>Headed For <br>Work</h4></center><p>Become a competitive candidate for any opportunity by effectively marketing yourself. s2l Gallery is the perfect professional platform to showcase and share your work to professionals at networking meetings and/or informational interviews. Put your best <span class=""green"">work forward!</span></p>",0,1,0,1
"856","CYSC 2021 Summer","<p>The Chicago Youth Service Corps (CYSC) is a citywide, cross-departmental partnership led by the Chicago Department of Family and Support Services (DFSS) with participation from key City partners and delegate agencies.</p><p>Corps members are dedicated to guiding principles of strengthening communities through civic leadership, working together to broaden impact, continuous learning, valuing youth-led advocacy and public service, and creating safe environments that celebrate diversity.</p>",0,0,1,1
"857","Art Institute Summer Virtual Workshops","<p>This virtual experience is an interactive exploration of artwork, with engaging activities and art making experiences throughout the hour. These experiences engage children of all ages in exploring, looking, learning, and making together. The experiences will be developmentally appropriate, and tailored to the group, whether they are early early learners K-Grade 3, Grade 4-8, or high school students. Please note that a list of suggested activity supplies, including common art supplies and household materials can be used for artmaking. </p>",1,1,0,0
"858","Stargazing: A Conversation with Jane Goodall and Cre Walls","<p>The inaugural event of i.c.stars series bringing together social justice leaders for conversations facilitated by i.c.stars alumni.</p><h2>About this event</h2><p>﻿Come to the virtual kitchen table to listen, learn and lead with some of the world's most activating leaders via i.c.stars' NEW Stargazing Event Series- launching on Wednesday, July 7th.</p><p>i.c.stars alumna Juanita Garcia will facilitate a conversation on the intersection of technology and environmentalism with Dr. Jane Goodall and youth community engagement leader Credell Walls. Event is hosted in partnership with the Jane Goodall Institute, Roots and Shoots, and the Forest Preserve of Cook County,</p><p>Discussion questions developed with input from the Lincoln Park Zoo Conservation Ambassadors Board & Brookfield Zoo Teen Advisory Council.Juanita Garcia- green engineer at Pepper Construction Group & Advisory Council Member of Environmentalists of Color.</p>",1,1,0,0
"859","Justice Ride 2021","<p>Come Ride With Us!</p>JUSTICE RIDE is a youth-centered 15-mile community bike ride for people 12 years and up with stops along the way planned to explore themes of Transformative Justice. Lunch will be provided. Bikes will be provided as needed.  Divvy bikes and Divvy ebikes (while supplies last) available upon request.<p><strong>When: July 17, 2021 | 10:00 AM</strong></p><p><strong>Where: Ride will start and end at Willye B. White Park | 1610 W. Howard Street</strong></p><p>Registration is required.</p><p>See our flyer here: <a href=""https://drive.google.com/file/d/1vZtLMC5lI6_X7Br0Kn9uL_u1ABJMJ2gd/view"">https://drive.google.com/file/d/1vZtLMC5lI6_X7Br0K...</a></p>",1,0,1,0
"860","Swimming into Shark Week","<p>Date: Wednesday, July 14</p><p>Time: 4:00 p.m. - 5:30 p.m.</p><p>For: High School Teens</p><p>Free!</p><p>Dive into Shark Week with us and learn more about these incredible animals! During this virtual workshop, you’ll connect with multiple shark species that live at Shedd and play virtual games to discover more about them. You’ll also get to meet one of our shark researchers and hear about his work and experiences!</p>",1,1,0,0
"861","Preventing Plastic Pollution","<p>Date: Wednesday, July 21</p><p>Time: 4:00 p.m. - 5:30 p.m.</p><p>For: High School Teens</p><p>Free!</p><p>You’ve probably seen plastic litter before, but how does plastic impact our waterways and what can we do about it? At the beginning of the workshop, you’ll connect with some ancient fish species that live in the Great Lakes. Then, you’ll explore ways you can take action and reduce plastic pollution to protect these animals and keep our waterways healthy and clean.</p>",1,1,0,0
"862","From Sharks to Stingrays","<p>Date: Wednesday, July 28</p><p>Time: 4:00 p.m. - 5:30 p.m.</p><p>For: High School Teens</p><p>Free!</p><p>This month we celebrated Shark Week, but did you know that stingrays are related to sharks? In this virtual workshop, you’ll connect with stingrays and learn more about them. We’ll also show you some ways to make stingray-themed decorations out of upcycled materials.</p>",1,1,0,0
"863","A Red Folder Project","<p>Made by teens for teens, <a href=""https://e.wordfly.com/click?sid=MTU3XzMyNTMwXzcwNTI1XzY3MDI&l=d2917bc0-fbca-eb11-a826-0050569d9d1d&utm_source=wordfly&utm_medium=email&utm_campaign=EDU_20210615_StepEdSummerChecklist&utm_content=version_A&uid=&sourceNumber="" target=""_blank""><em>The Red Folder Project</em> </a>offers an opportunity to peek inside the artistic process for a unique educational experience exploring how and why art gets made. Developed by a team of youth curators working in collaboration with the Steppenwolf Education team, <em>The Red Folder Project </em>will feature a suite of digital programming allowing high school students the chance to engage with the work of art in their classrooms and create their own works of art alongside playwright and Steppenwolf ensemble member <strong>Rajiv Joseph</strong> and other artists at the center of the <em>Red Folder</em> animated play.</p>",0,1,0,1
"864","Writing in the Face of Fear","<p>This FREE three-week course for young women and non-binary artists provides participants with the opportunity to develop their craft as writers and storytellers. Led by author Megan Stielstra, participants will dig into a myriad of forms including memoir, criticism, investigation, reflection, and the delicious and often messy ways that writers have blurred those lines between them.</p><p>Pulling from both literary and oral storytelling traditions, participants will engage in activities to move their stories out of the body and onto the page, encouraging risk and discovery and examining literary craft in new ways. Over the course of six two-and-a-half-hour sessions, each writer will choose one idea to develop and take it through multiple drafts that work towards their individual goals.</p><p>Open to young women and non-binary individuals ages 14-18. Writers at all levels are welcome.</p>",1,1,0,0
"865","Ice Cream Social","<p>Ice Cream social with Chicago police.</p>",1,0,1,0
"866","CYC 2021 Virtual Summer Camp","<p>Register for CYC's virtual summer camp! Open to ages 5-18, this camp will offer experiences in arts and crafts, STEM, life skills, visual arts, dance, service learning coding, cooking, and more! </p><p>Camp will operate Monday-Friday from 1:00-4:00 p.m. And Family Engagement activities will take place Wednesday and Thursday from 5:30-6:30 p.m. One registration per child.</p>",1,1,0,0
"867","Art Institute of Chicago Teen Council Internship Application","<p>High School Teens- apply for the Art Institute of Chicago Teen Council paid internship! The Teen Council is a group of creative and passionate youth artists, leaders, and organizers who collaborate with museum staff to reimagine the future of cultural institutions through teen-designed live and digital engagements. <a href=""https://www.surveymonkey.com/r/TW8Z3WG"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://www.surveymonkey.com/r/TW8Z3WG&source=gmail&ust=1626191101977000&usg=AFQjCNFZrK74aScAPSK_hYkyk50uoi0IVg"">Applications</a> are due on 7/18!</p><p><span></span></p>",1,0,0,1
"868","Fab Lab Hybrid Camp","<p>Is your child interested in art, engineering, computers, machines, and making things? If so, they're invited to participate in our Fab Lab camps hosted by the Museum of Science and Industry's <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.msichicago.org%2Feducation%2Fcreativity-and-innovation%2Ffab-lab%2F&sa=D&sntz=1&usg=AFQjCNEZMzYqZA-CODhDpeTZTcLnxkEfcw"" target=""_blank"">Wanger Family Fab Lab</a>.</p>",0,1,0,1
"869","Summer Explorer Science Camp","<p>Join us for a week of adventures as we journey from the human body out to the solar system. Together we’ll explore and play with the science of health and medicine, forensics, outer space, math and patterns, and engineering. (MSI is closed on Mondays so every Monday will be an online event. Tuesday through Friday will be at The Museum of Science and Industry. You can aslo have your child stay for after camp until 5pm for an additional $60 for that week.)</p>",0,1,1,0
"870","Summer Fun @ The Center","<p>Summer Fun @ The Center is an opportunity for youth to participate in a safe social environment while learning new skills, making new friends and Participating in fun challenges throughout the summer! </p>",0,0,1,1
"871","10th District Presents: Back to School Event","<p>This event includes free school supplies, free food, free hair cuts, vaccine information and health checks, coats and shoes, and free backpacks. </p><p><br></p><p>FOR MORE INFORMATION PLEASE CONTACT SGT. ESCALANTE: 773-636-4794 JUAN.ESCALANTE@CHICAGOPOLICE.ORG</p>",0,1,1,0
"872","My Doppelgänger Self","<p><span class=""TextRun  BCX0 SCXW30496782""><span class=""NormalTextRun  BCX0 SCXW30496782"">E</span><span class=""NormalTextRun  BCX0 SCXW30496782"">xplore identity and authenticity of the self <span class=""NormalTextRun ContextualSpellingAndGrammarErrorV2  BCX0 DefaultHighlightTransition SCXW30496782"">throughout</span><span class=""NormalTextRun  BCX0 SCXW30496782""> different art mediums and concept design.</span> <span class=""NormalTextRun  BCX0 SCXW30496782"">A</span><span class=""NormalTextRun  BCX0 SCXW30496782"">rtists use this in their work to express, explore, and question ideas about identity.  In this course, we will investigate the process of how <span class=""NormalTextRun ContextualSpellingAndGrammarErrorV2  BCX0 SCXW30496782"">artists’</span><span class=""NormalTextRun  BCX0 SCXW30496782""> get their ideas and utilize different art mediums to express themselves while <span class=""NormalTextRun ContextualSpellingAndGrammarErrorV2  BCX0 SCXW30496782"">create</span><span class=""NormalTextRun  BCX0 SCXW30496782""> life-altering artwork.</span></span> </span></span></span></p>",1,0,0,1
"873","Teen Table Talk: A Conversation with ASM Alumni and Teens","<p>Pull up a chair and join our one-hour virtual Teen Table Talk event for a compelling conversation with four inspiring ASM alumni and some of today’s current teens. Learn about ASM’s positive impact on Chicago’s young people and communities over the years, what it really takes to pursue your dreams, how life’s hurdles (or global ones!) can be the fuel to your fire, and how you can use your talent and voice to create change!</p><p>Moderated by ASM instructor and well-known Hip-Hop artist Pinqy Ring, this event promises to be a riveting exchange of ideas across several generations of ASM teens. Panelists include actor Daniel Kyri (Chicago Fire), musician Thadeus Tukes, pastry chef Amanda Alvarez, and Chicago Community Trust program manager Lauren Woods.</p>",0,1,0,1
"874","Westside To West Africa Trivia Adventure","<p>Join this fun History and Adventure Trivia Contest for youth age 14-23.  Learn important black history facts as you visit Chicago RiverWalk that will lead you to the Westside. Your entry you can win an all-expense-paid journey to Ghana West Africa.  The first journey is August 2022.</p>",1,1,0,0
"875","Rush University Medical Assistant Program","<p>Jump start your Healthcare Career with Rush University Medical Center as a Medical Assistant</p><p>Rush University Medical Center is one of the country’s leading medical centers pushing the boundaries of healthcare services with innovative, compassionate, and accountable team members!</p><p>Areyoureadytochallengeandgrowyourskills? We’relookingforteam-oriented individuals with a dedication to patient safety and a passion for quality care who have a strong clinical understanding.</p><p><em>What makes Rush standout: above market compensation, attractive benefits and employee perks, career growth, an outstanding company culture.<br>Oh, did we mention we offer a $2000 sign on bonus!</em></p><p>If you are ready to join an award-winning team, apply today!</p><p><a href=""https://www.rush.edu/careers"">https://www.rush.edu/careers</a></p><p>Search Clinical Support Positions</p><p>Direct general questions to Rush_Recruitment@rush.edu<br>To request any disability-related accommodations, email Kevin_Irvine@rush.edu</p>",0,0,1,1
"876","Rush University Environmental Technician","<p>Jump Start your Healthcare Career with Rush University Medical Center as a</p><p>Environmental Technician (EVS)</p><p>Rush University Medical Center is one of the country’s leading medical centers pushing the boundaries of healthcare services with innovative, compassionate, and accountable team members! Are you ready to challenge and grow your skills?</p><p>We are looking for team-oriented individuals with a dedication to patient safety and a passion for quality care! The right candidate is detailed & fast paced, works well with all levels of people, and flexible to help meet the needs of our robust medical center operations.</p>",0,0,1,1
"877","The Base Yearlong Programs","<p>Clubhouse & Learning Center</p><p>230 N. Kolmar Ave./Marconi School</p><p>The BASE Chicago provides premier educational and athletic training for youth (ages 8-18) that teaches each participant leadership, self respect and positive community engagement.</p><ul><li>Year Round Baseball - Girls Softball </li><li>Majorette/Hip Hop Dance</li><li>7 on 7 Football Training </li><li>Tutoring/homework Assistance </li><li>Leadership/Mentoring Classes </li><li>ACT & SAT Prep</li><li>8th Grade Selective Enrollment Prep </li><li>Computer Lab </li><li>Community Service Projects</li></ul><p>For more information, please contact: Frank Brim @ fbrim@thebase.org</p>",1,1,0,0
"878","Teen Reach at Albany Park","<p>An after school program geared towards kids aged 11-17. </p>",1,1,0,0
"879","Fall 2021 bp Student Ideas Competition","<p>The bp Student Ideas Competition at the Chicago Architecture Biennial asks young people to design a collection space for one of three purposes: Exchanges or Exchanging; Plants or Planting; Commons or Commoning. The competition welcomes submissions that explore ideas about architecture and design presented through any medium or discipline including the humanities, visual and performing arts, writing, and STEM fields. Strong entries will be unique, imaginative, thoughtfully executed, and community specific. </p><ul><li>Accepting submission through December 6, 2021 at 11:59pm CST</li><li>Open to Chicagoland and NW Indiana students in grades 7-12</li><li>Winners will receive cash prizes up to $300, tablets, and more</li><li>Free to enter</li><li>Teacher sponsoring first place winning submissions will receive a gift certificate</li><li>All prompts are open to individual submissions; teams may only submit to the Commons/Commoning prompt</li></ul>For more details and to submit, visit <a href=""https://chicagoarchitecturebiennial.org/learn/student_competitions"">bit.ly/cabcompetitio</a><br><br>Questions? Email <a href=""mailto:education@chicagoarchitecturebiennial.org"">education@chicagoarchitecturebiennial.org</a>",1,0,1,0
"880","Railroad Tracks Music Academy Presents Logic Pro X 101: Music Producers Edition","<p>Railroad Tracks Music Academy Presents Logic Pro X 101 Music Producers Edition. Are you a music producer? Do you use Logic Pro X as your choice for a DAW (Digital Audio Workstation)? Have you been trying to learn how to use Logic Pro X? Or hare you been using it and just not sure how to get the most out of the software?  It may seem complicated right now, but Railroad Tracks Music Academy can help you learn and understand  everything you need to know to turn your ideas into full songs in Logic Pro X. Create custom drum kits and sound patches and compose all in the box. Come learn from an Apple certified instructor and take your production to the next level. </p>",1,0,0,1
"881","Railroad Tracks Music Academy Presents Pro Tools 101: Studio Edition","<p>Are you a recording engineer? Do you have a preference of a DAW? Do you want to learn how to use Pro Tools? Want to speed up your workflow? Do you understand singal flow? Do you want to take your skills with Pro Tools to the next level?</p>",1,0,0,1
"882","Railroad Tracks Music Academy Presents Songwriting 101: A Comprehensive Lyric Study","<p>Great lyrics are what makes great songs that lasts for generations to come. In this workshop, we will study some of those songs and go over some songwriting techniques to get you started and have you listening to songs in a complete different light. </p><p>#songwriting #lyrics #workshop #yearofchicagomusic</p>",1,1,0,0
"883","Railroad Tracks Music Academy Presents Sampling 101","<p>With the advancements in technology in audio and music production, the sampling technologies available have come a long way. Whether you're a seasoned pro or an aspiring chopper, this workshop will blow you away by the endless possibilities available within your DAW.</p>",1,0,0,1
"884","Test Program: Geocoder","<p>Test to confirm geocoder is still working properly following message from Amazon on October 6.</p>",0,1,0,1
"885","Austin Community ""Austober"" Fest","<p>This Halloween, Project Exploration and partners will host the <strong>Austin Community Oktoberfest “Aus-toberfest” </strong>to provide youth and families a fun and safe Halloween experience!<strong> The event will be held on <u>Saturday, October 30th from 5-9pm at Columbus Park!</u></strong></p><p>This event will feature a costume contest, free food and drinks, community resource tables, storytelling, themed activities for kids, a Haunted Trail, games, pumpkin painting, a costume contest, and more. </p>",1,0,1,0
"886","Connecting with Experts: Facilities","<p>Have you ever wondered how an aquarium operates and who keeps the building running? Meet our Facilities team and learn what it’s like to take care of one of the nation’s largest aquariums! These experts manage everything from the lights in the ceiling to the pipes that provide water to habitats. You’ll have the opportunity to ask questions and engage virtually with staff to discover more about their career paths.</p>",0,1,0,1
"887","Exploring Careers at Shedd: Facilities","<p>Join us at Shedd to meet our Facilities team and learn about their careers! Find out how an aquarium operates and what it’s like to keep the building functioning. In this in-person program, you’ll get to participate in activities and explore the space to learn more about this career.</p><p><em>Due to limited capacity, please confirm your registration at least one week before the program. Any unconfirmed registrations will be cancelled.</em></p>",0,1,0,1
"888","Connecting with Experts: Design and Exhibits","<p>If you're interested in a career where you can be creative and care for animals, then this is the workshop for you! Connect with us online for a career chat with our design team. They'll be sharing about what they do at Shedd and how they got here.</p>",1,1,0,0
"889","Connecting with Experts: Conservation","<p>Join us for a virtual career chat with our Conservation Action and Conservation Research teams! You'll get to ask questions about what they do and learn about their career paths. If you're passionate about caring for the environment, this workshop is a great opportunity for you to explore a career in this field.</p>",1,1,0,0
"890","QED: Chicago's Youth Math Symposium 2021","<p>A Math Symposium is similar to Science Fair, except that the projects focus on math and computer science instead of science. The math projects can be extensions of classroom problems or competition problems that a student has found interesting.</p>",0,1,0,1
"891","ChiS&E Fall 2021 Registration","<p>Register for FREE Science and Math classes this fall. Classes are available for grades 1-12. Click Explore Now to view more details.</p>",0,1,0,1
"892","STEAMville Virtual Competitions","<p>Virtual Competitions NOW–November 19th</p><p>Investigation....HANDS-ON experimentation....DA VINCI!!</p><p>Check out these competitions where you will match your knowledge of science and engineering against one of the most brilliant minds in history, Leonardo Da Vinci! </p><p>Are you in 3rd–5th grade? Check out the competition designed just for you where you will explore both science and engineering.</p><p>Are you in 6th–12th grade? You have TWO competition opportunities to SPARK the inner scientist and IGNITE the inner engineer within you. You can choose to do one or both challenges designed for your grade band. HOWEVER, if you submit to BOTH challenges and we receive your submissions by the November 19th deadline, we will invite you to a special LIVE behind the scenes tour of Argonne National Laboratory and you will have the opportunity to chat with our scientists and engineers! So, have fun, be creative and look forward to discovering the inner scientist and engineer within you!</p><p>All competitions can all be done with household items, there is no need to purchase anything. These can be completed on the STEAMville platform. Click Explore Now to learn more, create an account, and begin!<br></p>",0,1,0,1
"893","Burst Into Books' Holiday Family Celebration","<p>Come out to enjoy holiday music, delicious treats, free books and toys. Also, each child can take a photo with Chicago's Black Santa Dreezy Claus.</p>",0,1,1,0
"894","Global Workforce Readiness Music Festival 2021","<p>Are you a creative young adult looking to earn money doing what you love? Are you interested in finding, defining, and following your passion? Join us for a FREE event including performances and workshops by Peter Jericho, Mani Jurdan, Radio King Kyle MC, Queen Prophecy, and Marilyn Smith Walton. Attendance grants entry in a $100 raffle! Click below to learn more.</p>",1,0,0,1
"895","The BASE Garfield Park Extended Hours","<p>The BASE Chicago has the capacity for 20-30 youth spots from 4PM-8PM on Friday. Email below to learn more. </p>",1,1,0,0
"896","Ark of Peace Winter Wonderland","<p>Come on by and see our beautiful Community Garden filled with Christmas joy and light!</p>",1,0,1,0
"897","CPL Teen Winter Challenge","<p>Art is a core component of culture, and culture binds us together. So when times are divisive, it’s even more important to create and share the products we make. That’s why the theme of our 7th annual Teen Winter Challenge is Art to Unite!</p><p>If you’re a Chicago high schooler between ages 13 to 19, submit your recently created art to our Teen Winter Challenge using the form below. Submissions that demonstrate talent, creativity and originality will be eligible for prizes and recognition. Plus, every applicant will have one work printed in the 7th annual Teen Winter Challenge catalog, which will be added to the YOUmedia Zine collection.</p><h2>Submission Guidelines</h2><ul><li><strong>Who:</strong> High school students between ages 13 to 19 who live in Chicago.</li><li><strong>What:</strong> Submit a portfolio of 1 to 3 original works in a digital format along with an artist statement.</li><li><strong>When:</strong> Submit your works between now and March 1, 2022.</li><li><strong>Where:</strong> The form below!</li></ul><p><strong>Portfolio submissions</strong> must contain 1 to 3 original creative works from the past year and can represent a variety of mediums including drawing, painting, sculpture, film, photography, fashion, etc.</p><p><strong>Your artist statement</strong> is meant to give insight into both you and your work in 250 words or less. Some helpful prompts:</p><ul><li>Discuss the meaning/intention behind your artistic choices and the overall piece</li><li>Write about your prior experiences as an artist and your goals for the future</li></ul><p><strong>Evaluation process:</strong> Submissions will be judged by a panel of Chicago Public Library staff and guest judges from the Chicago arts community. Evaluation will be based on the clarity of your artist statement, the passion to create and the artistic merit of the piece(s).</p><p>Every applicant will have one work printed in our Teen Winter Challenge catalog. Of these works, up to 12 exceptional pieces will receive one of the following prizes:</p><p><strong>Senior Achievement Award</strong><br>Open to high school seniors.</p><ul><li>Grand prize: $150 gift card</li><li>First and second runners-up: $100 gift card</li><li>Honorable mentions (3): $50 gift card</li></ul><p><strong>Young Artist Award</strong><br>Open to high school freshmen, sophomores and juniors.</p><ul><li>Grand prize: $100 gift card</li><li>First and second runners-up: $50 gift card</li><li>Honorable mentions (3): $25 gift card</li></ul>",1,0,0,1
"898","Christmas Food Basket Giveaway","<p>Join Rainbow Push Coalition for their Christmas Food Basket Giveaway! Registration takes place in person at the Saturday morning forum at Rainbow Push National Headquarters. Please bring your voter I.D. or register to vote on site!</p>",1,0,1,0
"899","West Garfield Park: Greater Westside Winter Wonderfest #WinterKickback","<p>Join Project Exploration, The BASE Chicago, and BUILD, Inc. for the Greater Westside Winter Wonderfest! This will be a night of fun, games and winter themed activities. Attendees can play games to win raffle tickets for one of our many Christmas prizes. You can gain extra raffle tickets by participating in our winter clothes drive!</p>",1,0,1,0
"900","Austin: Greater Westside Winter Wonderfest #Make22Yours","<p>Join Project Exploration, The BASE Chicago, and BUILD, Inc. for the Greater Westside Winter Wonderfest! This will be a night of fun, games and winter themed activities. Attendees can play games to win raffle tickets for one of our many Christmas prizes. You can gain extra raffle tickets by participating in our winter clothes drive!</p>",1,0,1,0
"901","Humboldt Park: Greater Westside Winter Wonderfest #Make22Yours","<p>Join Project Exploration, The BASE Chicago, and BUILD, Inc. for the Greater Westside Winter Wonderfest! This will be a night of fun, games and winter themed activities. Attendees can play games to win raffle tickets for one of our many Christmas prizes. You can gain extra raffle tickets by participating in our winter clothes drive!</p>",1,0,1,0
"902","Sprinter at City Colleges #Make22Yours","<h2>Complete a Full-Semester Class in Less Than One Month</h2><p>This winter, City Colleges is offering a variety of online credit classes that can be completed in just four weeks. For current and future students alike, our winter classes are an opportunity to make progress towards your certificate or degree in between our fall and spring semesters.</p>",0,1,0,1
"903","South Shore Silent Party #WinterKickback","<p>Join Lost Boyz Inc. for a silent party for teens! There will be raffles, free food, and music. </p><p>This event will allow teens to meet new people and show their talent through music.  Music will be played through headphones and there will be three different channels to listen to music on.</p>",1,0,0,1
"904","East Garfield Park: Teen Jersey Silent Party #WinterKickback","<p>Break out your favorite jersey and best sneakers and head out to our teen jersey silent party! There will be a DJ and the event is free!</p>",1,0,0,1
"905","Raptors in Winter with Wings and Talons #Make22Yours","<p>How do birds stay warm in winter? Join our special friends from Wings and Talons to see all kinds of raptors – from owls to hawks – live and up close! We’ll learn fascinating facts about these species and explore how they stay warm in the winter, hunt their prey and play a vital role in the ecosystems around us. Come away with a new understanding and a deep appreciation of these truly wild and wonderful creatures that live among us.</p><p>Suitable for all ages. Masks required.</p>",1,1,0,0
"906","Mammals and More #Make22Yours","<p>How much can a sloth eat in a day? And what does an armadillo sound like? Join our special guests from the Flying Fox Conservation Fund to learn about some of the most unique animals in the world and get up close with a sloth, an armadillo, and more! A portion of the proceeds goes towards animal conservation efforts. Suitable for all ages. Masks required.</p>",1,1,0,0
"907","Nature Museum Winter Break Programs #Make22Yours","<h3>Celebrate the holidays with the Nature Museum!</h3><p>Meet amazing animals and more! Sign up for one or all of our Winter Break offerings.</p><p>Unless otherwise noted, registration is required for all Winter Break programs. All programs are suitable for all ages.</p><p>Don’t forget, you can also enjoy all of our daily programs, including Story Time, our First Flight Butterfly Release, and more! <a href=""https://naturemuseum.org/events"">Click here for the daily schedule.</a></p>",1,1,0,0
"908","The Tale of the Gingerbread Yogi #Make22Yours","<p>On December 18, join our friends at <a href=""https://www.buddhabellykidsyoga.com/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Buddha Belly Kids Yoga</a> for a cozy storybook yoga class with your family featuring an adaptation of the classic Gingerbread story! This imaginative yoga class includes gingerbread making with our bodies, partner poses, and relaxation. We flow through a sequence of fun and creative poses that embody the story; bringing literature to life.</p><p>BBKY is a mobile yoga + mindfulness company founded by educators and dedicated to nurturing kids’ innate desire for movement and play. This class provides a medium for families to unplug and bond in the most playful of ways. Children and their grown-ups will interact through moving, breathing, and connecting. This class is designed for children ages 2-8 years; however, all ages are most welcome! All children must be accompanied by a guardian. </p><p><em>Space is limited. Must register online in advance; no drop-ins. Ticket price includes museum admission.</em></p><p>Family registrations strongly encouraged.</p><p>Know Before You Go:</p><ul><li>All guests over the age of 2 must wear a face mask that fully covers the nose and mouth with no vents or openings unless medically unable.</li><li>Guests must practice social distancing at all times, keeping six feet between your party and others.</li><li>Each guest must bring their own yoga mat, face mask, and water bottle.</li><li>Guests should abide by the <a href=""https://www.chicago.gov/city/en/sites/covid-19/home/emergency-travel-order.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">City of Chicago travel advisory</a> if they have recently traveled to another state.</li><li>If you feel unwell, are experiencing any <a href=""https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">COVID-19 symptoms</a>, or have been exposed to or come into close contact with a confirmed [or suspected] case of COVID-19, please stay home and email programs@naturemuseum.org to reschedule your class.</li><li>Family Yoga will take place indoors in South Gallery.</li></ul>",1,0,1,0
"909","Englewood Pajama Movie Night w/ Santa! #WinterKickback","<p>Come and celebrate with Community Assistance Programs! Guests can wear their favorite (appropriate) pajamas, watch a holiday film while eating some holiday themed snacks. Santa will also be in attendance to give gifts to any pre-teen youth. This event is for teens and pre-teens specifically, but everyone in the community is welcome! Come share some great holiday food and fun.</p>",1,0,1,0
"910","ASM Winter Challenge #Make22Yours","<p>Join After School Matters Winter Wellness Challenge December 20 through December 24! This five-day wellness challenge offers you the chance to earn a $100 stipend and have fun while getting your friends and family to participate in healthy activities too! Complete three of five activities at home, document the activity, and share with us along with a description of each challenge to earn a stipend during your winter break.</p><p><br><br>Winter Wellness Challenges</p><p>Challenge 1: Cook a healthy meal or snack<br>Make a healthy meal or snack for your family, take a picture of your creation, and send the photo along with a description of what you made.</p><p><br>Challenge 2: Rock Your Block<br>Take a photo of your favorite spot in your community and send it along with an explanation about why it’s your favorite spot. What about the place is special to you? What about your neighborhood makes you proud?</p><p><br></p><p>Challenge 3: My Culture, My Pride<br>Share something about your culture through a song, dance, artwork, poem, a family recipe, or any other way you wish. Send along a photo or video of what you created along with a description.</p><p><br>Challenge 4: Create a Mindful Meditation Video<br>Be Creative!! Go outside, find family and friends to be part of your video. Send your video along <br>with a brief description.</p><p><br>Challenge 5: Get Out and Get Moving!<br>Go on a hike with family and friends, share a home workout, take your dog for a walk, or participate in another healthy activity. Take a picture or video and send along with a brief description.</p>",1,0,0,1
"911","STEAM Winter Break Camp #Make22Yours","<p>Fun STEAM activities for families and their children ages 6 -14. Robots, blocks, iPads and more!</p>",0,1,0,1
"912","West Pullman Winter Wonderland #WinterKickback","<p>The West Pullman Winter Wonderland aims to bring the Chicago Navy Pier Winter look to the Far South.  The event will be for residents of all ages and community organizations.  Activities at this two-day event will include outdoor ice skating, Santa's workshop, vaccination, entertainment, games and prizes, food and a large inflatable snow globe photo booth.   Community Organizations will be invited to share resources. On the second day there will be breakfast with Santa!</p><p>
We will also host a particular segment promoting our Chicago Youth Service Corp Entrepernuer Youth who are working to rebuild the economy in their community by working on becoming Entrepreneurs. </p>",1,0,1,0
